date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:02	11146/11146	---M--	200	added ('OK')	image/png	etag:%222b8a-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/pig-sleep.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/pig-sleep.png	(from http://ukepengen.no/)
15:04:02	8965/8965	---M--	200	added ('OK')	image/png	etag:%222305-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/pig-2.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/pig-2.png	(from http://ukepengen.no/)
15:04:03	7482/7482	---M--	200	added ('OK')	image/png	etag:%221d3a-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-1.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-1.png	(from http://ukepengen.no/)
15:04:03	2388/2388	---M--	200	added ('OK')	image/png	etag:%22954-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/gold-2.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/gold-2.png	(from http://ukepengen.no/)
15:04:03	9641/9641	---M--	200	added ('OK')	image/png	etag:%2225a9-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-2.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-2.png	(from http://ukepengen.no/)
15:04:04	27285/27285	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:04%20GMT	http://ukepengen.no/upplev-veckopengen/	ukepengen.no/upplev-veckopengen/index.html	(from http://ukepengen.no/)
15:04:05	37655/37655	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:04%20GMT	http://ukepengen.no/traning/	ukepengen.no/traning/index.html	(from http://ukepengen.no/)
15:04:05	2569/2569	---M--	200	added ('OK')	image/png	etag:%22a09-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/bankroll-3.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/bankroll-3.png	(from http://ukepengen.no/)
15:04:05	17946/17946	---M--	200	added ('OK')	image/png	etag:%22461a-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-3.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/safe-3.png	(from http://ukepengen.no/)
15:04:05	19385/19385	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:05%20GMT	http://ukepengen.no/om-oss/	ukepengen.no/om-oss/index.html	(from http://ukepengen.no/)
15:04:07	7099/7099	---M--	200	added ('OK')	image/png	etag:%221bbb-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/grass-2.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/grass-2.png	(from http://ukepengen.no/)
15:04:08	17458/17458	---M--	200	added ('OK')	image/png	etag:%224432-5308710e38b99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/cutter.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/cutter.png	(from http://ukepengen.no/)
15:04:08	7369/7369	---M--	200	added ('OK')	image/png	etag:%221cc9-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/coin.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/coin.png	(from http://ukepengen.no/)
15:04:09	5297/5297	---M--	200	added ('OK')	image/png	etag:%2214b1-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/cutter-2.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/cutter-2.png	(from http://ukepengen.no/)
15:04:09	3451/3451	---M--	200	added ('OK')	image/png	etag:%22d7b-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/cutter-1.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/cutter-1.png	(from http://ukepengen.no/)
15:04:10	30368/30368	---M--	200	added ('OK')	image/png	etag:%2276a0-5308710e2fef9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/grass-1.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/animation/grass-1.png	(from http://ukepengen.no/)
15:04:11	3714/3714	---M--	200	added ('OK')	image/png	etag:%22e82-5308710e37bf9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/ball.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/ball.png	(from http://ukepengen.no/)
15:04:11	9487/9487	---M--	200	added ('OK')	image/png	etag:%22250f-5308710e3aad9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/konsol.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/konsol.png	(from http://ukepengen.no/)
15:04:11	2500/2500	---M--	200	added ('OK')	image/png	etag:%229c4-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/tip-pointer.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/tip-pointer.png	(from http://ukepengen.no/)
15:04:12	3095/3095	---M--	200	added ('OK')	image/png	etag:%22c17-5308710e38b99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/di.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/di.png	(from http://ukepengen.no/)
15:04:12	2172/2172	---M--	200	added ('OK')	image/png	etag:%2287c-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/resume.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/resume.png	(from http://ukepengen.no/)
15:04:13	3254/3254	---M--	200	added ('OK')	image/png	etag:%22cb6-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/veckans-affarer.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/veckans-affarer.png	(from http://ukepengen.no/)
15:04:13	1554/1554	---M--	200	added ('OK')	image/png	etag:%22612-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/svd.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/svd.png	(from http://ukepengen.no/)
15:04:13	4213/4213	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:13%20GMT	http://ukepengen.no/cdn-cgi/l/email-protection	ukepengen.no/cdn-cgi/l/email-protection.html	(from http://ukepengen.no/)
15:04:13	2284/2284	---M--	200	added ('OK')	image/png	etag:%228ec-5308710e38b99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/breakit.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/breakit.png	(from http://ukepengen.no/)
15:04:13	1288/1288	---M--	200	added ('OK')	image/png	etag:%22508-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/submit-button-arrow.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/submit-button-arrow.png	(from http://ukepengen.no/)
15:04:14	1403/1403	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257b-5308710e8cb59%22	http://ukepengen.no/wp-includes/js/wp-embed.min.js?ver=4.5.6	ukepengen.no/wp-includes/js/wp-embed.min62df.js	(from http://ukepengen.no/)
15:04:16	165673/165673	---M--	200	added ('OK')	image/png	etag:%2228729-5308710e3aad9%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/iphone.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/iphone.png	(from http://ukepengen.no/)
15:04:17	54817/54817	---M--	200	added ('OK')	image/png	etag:%22d621-5308710e38b99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/funfair.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/funfair.png	(from http://ukepengen.no/)
15:04:17	12427/12427	---MCZ	200	added ('OK')	application/javascript	etag:W/%22308b-5308710e3ca19%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/scripts/app.js	ukepengen.no/wp-content/themes/veckopengen/assets/scripts/app.js	(from http://ukepengen.no/)
15:04:18	62791/62791	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:17%20GMT	http://ukepengen.no/villkor/	ukepengen.no/villkor/index.html	(from http://ukepengen.no/)
15:04:18	2177/2177	---MCZ	200	added ('OK')	application/json	date:Tue,%2014%20Feb%202017%2014:04:17%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fen%2Fhome%2F	ukepengen.no/wp-json/oembed/1.0/embedde6b.json	(from http://ukepengen.no/en/home/)
15:04:19	2272/2272	---MCZ	200	added ('OK')	text/xml	date:Tue,%2014%20Feb%202017%2014:04:18%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fen%2Fhome%2F&format=xml	ukepengen.no/wp-json/oembed/1.0/embed4baa	(from http://ukepengen.no/en/home/)
15:04:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:04:20%20GMT	http://ukepengen.no/en/home	ukepengen.no/en/home	(from http://ukepengen.no/en/home/)
15:04:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:04:20%20GMT	http://ukepengen.no/en/home	ukepengen.no/en/home	(from http://ukepengen.no/en/home/)
15:04:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:04:20%20GMT	http://ukepengen.no/en/home	ukepengen.no/en/home	(from http://ukepengen.no/en/home/)
15:04:21	19108/19108	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:20%20GMT	http://ukepengen.no/en/experience/	ukepengen.no/en/experience/index.html	(from http://ukepengen.no/en/home/)
15:04:21	150308/150308	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224b24-5308710e3ca19%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/scripts/components.js	ukepengen.no/wp-content/themes/veckopengen/assets/scripts/components.js	(from http://ukepengen.no/)
15:04:21	10932/10932	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Feb%202017%2014:04:21%20GMT	http://ukepengen.no/wp-content/themes/veckopengen/assets/styles/grabbing.png	ukepengen.no/wp-content/themes/veckopengen/assets/styles/grabbing.png	(from http://ukepengen.no/wp-content/themes/veckopengen/assets/styles/all.css)
15:04:21	14695/14695	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2014:04:21%20GMT	http://ukepengen.no/en/tip/	ukepengen.no/en/tip/index.html	(from http://ukepengen.no/en/home/)
